Node,degree,betweenness,closeness,eigenvector,pagerank
DellaValleM,0.01280256051210242,4.175022384299628e-05,0.2911015547469401,0.0002648427939417036,0.0002648427939417036
DiazTrigoM,0.008601720344068814,4.430012765560499e-05,0.29813874788494077,0.00019219083834783876,0.00019219083834783876
MenkveldM,0.00020004000800160032,0.0,1.0,0.00021664716842138937,0.00021664716842138937
VersalovicJ,0.000600120024004801,0.0,0.2300261096605744,8.704540891150031e-05,8.704540891150031e-05
LuirinkJ,0.004000800160032006,0.0003989823483452445,0.27351754113629306,0.0003402553600752028,0.0003402553600752028
KambleA,0.011202240448089618,0.00010655450667394218,0.2912396694214876,0.00025124410368572713,0.00025124410368572713
vanBakelN,0.0072014402880576115,0.00014224012495968124,0.28781443972557985,0.0003004055938614207,0.0003004055938614207
KleinA,0.0036007201440288058,0.0008787584004325632,0.2931780366056572,0.0002741445457343877,0.0002741445457343877
deReedeJL,0.00020004000800160032,0.0,0.0,0.00021664716842138937,0.00021664716842138937
vandeSteegE,0.00020004000800160032,0.0,0.2245470783363103,4.8770625135184844e-05,4.8770625135184844e-05
WeiXZ,0.0010002000400080016,0.0,0.2692778457772338,8.183447897738093e-05,8.183447897738093e-05
BaratS,0.004200840168033607,1.024390265509933e-05,0.24985819625638117,0.0001916046099921158,0.0001916046099921158
TamP,0.0,0.0,0.0,3.249707526442832e-05,3.249707526442832e-05
BalsR,0.00020004000800160032,0.0,0.20271514035895075,5.709803804542342e-05,5.709803804542342e-05
ManolaI,0.000600120024004801,0.0,0.22191435768261963,9.74019620795069e-05,9.74019620795069e-05
BerginEA,0.011202240448089618,0.00015912742412627187,0.2759160663952396,0.0003454459745140176,0.0003454459745140176
SpeelEJ,0.0008001600320064013,0.0,0.23032679738562092,9.127604128394653e-05,9.127604128394653e-05
WeilR,0.00020004000800160032,0.0,0.0,0.00021664716842138937,0.00021664716842138937
GalloLC,0.0054010802160432084,1.0676478062042692e-05,0.2790624010136205,0.00014161968955820977,0.00014161968955820977
TakkenFLW,0.004400880176035207,0.0013183199599028827,0.277602523659306,0.00035123134878280426,0.00035123134878280426
LorenzettiV,0.004600920184036807,0.00030317118280750376,0.27936507936507937,0.00033371895682581974,0.00033371895682581974
GianniosD,0.0,0.0,0.0,3.249707526442832e-05,3.249707526442832e-05
GerberA,0.00040008001600320064,0.0,0.23117292049330884,5.82057593014712e-05,5.82057593014712e-05
HeymaA,0.0008001600320064013,4.175750028649775e-05,0.2270618556701031,0.0001154935064763507,0.0001154935064763507
SzczerbaR,0.007001400280056011,2.578735905905085e-05,0.27870926921860173,0.00021917901780584345,0.00021917901780584345
ZillikensMCDRRAM,0.0008001600320064013,0.0,0.24263288350316717,9.685939542580571e-05,9.685939542580571e-05
vanderMolenLHVO,0.0008001600320064013,0.0,0.2429004687069203,9.412164405804392e-05,9.412164405804392e-05
LiZ,0.01300260052010402,0.0024957260590259284,0.3384556281213984,0.0006875265150691497,0.0006875265150691497
TheysT,0.00040008001600320064,0.0,0.20926365795724466,8.824487819742199e-05,8.824487819742199e-05
SchagenSB,0.006001200240048009,0.0038384162752419042,0.2930805056553559,0.0005925073479018043,0.0005925073479018043
KamerPCJ,0.003800760152030406,8.481052150577466e-05,0.26306360107494775,0.0002907849231964688,0.0002907849231964688
GomesdaSilvaFilhoI,0.00020004000800160032,0.0,0.24097374179431072,4.953275111844739e-05,4.953275111844739e-05
DeheuvelsS,0.007601520304060812,6.303263646036827e-05,0.29075907590759076,0.0002369446270451786,0.0002369446270451786
ElgetiS,0.0,0.0,0.0,3.249707526442832e-05,3.249707526442832e-05
SteenhuisM,0.004000800160032006,0.0007900878428738643,0.2770440251572327,0.0003032681997828427,0.0003032681997828427
NandraB,0.00040008001600320064,0.0,0.2255504352278546,6.706195814011057e-05,6.706195814011057e-05
EfficaceF,0.0018003600720144029,4.130932361141406e-05,0.25178826895565093,0.00018843638780482842,0.00018843638780482842
BonnetS,0.0030006001200240046,0.000467733039034545,0.2836445589182228,0.0002537905873508875,0.0002537905873508875
