strategy,run_id,n_steps,final_fraction,t_50,t_90,auc,tau,seed_fraction
random,6,31,0.036744231185565086,-1.0,-1.0,0.9912581278508132,0.05,0.005
random,7,30,0.04779288257821773,-1.0,-1.0,1.16475181593544,0.05,0.005
random,9,32,0.04153695699237792,-1.0,-1.0,1.1121288810254346,0.05,0.005
degree,0,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.05,0.005
degree,1,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.05,0.005
degree,2,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.05,0.005
degree,3,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.05,0.005
degree,5,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.05,0.005
degree,4,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.05,0.005
degree,7,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.05,0.005
random,8,49,0.0474494785484461,-1.0,-1.0,1.862160608571663,0.05,0.005
degree,6,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.05,0.005
degree,8,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.05,0.005
degree,9,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.05,0.005
betweenness,0,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.05,0.005
betweenness,1,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.05,0.005
betweenness,2,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.05,0.005
betweenness,4,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.05,0.005
betweenness,3,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.05,0.005
betweenness,5,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.05,0.005
betweenness,6,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.05,0.005
betweenness,7,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.05,0.005
betweenness,8,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.05,0.005
betweenness,9,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.05,0.005
random,0,29,0.0743768336655394,-1.0,-1.0,1.8195486476600005,0.05,0.01
random,1,32,0.08208102842041612,-1.0,-1.0,2.27276731390861,0.05,0.01
random,2,28,0.07511589886004792,-1.0,-1.0,1.7842153591184968,0.05,0.01
random,6,24,0.0710174464177734,-1.0,-1.0,1.4525019969690862,0.05,0.01
random,5,26,0.07300321754645286,-1.0,-1.0,1.6150366173210007,0.05,0.01
random,3,33,0.07576538039461603,-1.0,-1.0,2.1351892081550994,0.05,0.01
degree,0,24,0.4432674146902272,-1.0,-1.0,9.554955842720956,0.05,0.01
random,4,36,0.08028935522160757,-1.0,-1.0,2.54775928870574,0.05,0.01
degree,1,24,0.4432674146902272,-1.0,-1.0,9.554955842720956,0.05,0.01
degree,2,24,0.4432674146902272,-1.0,-1.0,9.554955842720956,0.05,0.01
random,8,29,0.08141661627585794,-1.0,-1.0,1.9910640299209423,0.05,0.01
random,9,30,0.0784678208028189,-1.0,-1.0,1.9983576329010921,0.05,0.01
degree,3,24,0.4432674146902272,-1.0,-1.0,9.554955842720956,0.05,0.01
degree,4,24,0.4432674146902272,-1.0,-1.0,9.554955842720956,0.05,0.01
degree,5,24,0.4432674146902272,-1.0,-1.0,9.554955842720956,0.05,0.01
degree,6,24,0.4432674146902272,-1.0,-1.0,9.554955842720956,0.05,0.01
degree,7,24,0.4432674146902272,-1.0,-1.0,9.554955842720956,0.05,0.01
