node,degree,strategy,adoption_time,tau,seed_fraction
VanRijn-VanGelderenL,5,random,1,0.05,0.0025
FranzoiD,10,random,1,0.05,0.0025
BennettKF,10,random,1,0.05,0.0025
OdomA,10,random,1,0.05,0.0025
FezzignaP,8,random,1,0.05,0.0025
HolewijnRA,11,random,1,0.05,0.0025
ZoonTJC,11,random,1,0.05,0.0025
VerbaanD,11,random,1,0.05,0.0025
BergfeldIO,11,random,1,0.05,0.0025
DeBieRMA,11,random,1,0.05,0.0025
ChaoJ,8,random,1,0.05,0.0025
GerlitzC,13,random,1,0.05,0.0025
vandenBoogertF,6,random,1,0.05,0.0025
BoumanYHA,16,random,1,0.05,0.0025
RozaSJ,6,random,1,0.05,0.0025
CassJ,3,random,1,0.05,0.0025
ChanKL,11,random,1,0.05,0.0025
StoelhorstJW,12,random,1,0.05,0.0025
BazhydaiMBHK,17,random,1,0.05,0.0025
ProniziusE,17,random,1,0.05,0.0025
QadriMAJ,17,random,1,0.05,0.0025
ŠlipogorV,17,random,1,0.05,0.0025
MarkakisE,10,random,1,0.05,0.0025
BaneshiS,4,random,1,0.05,0.0025
VarbanescuAL,49,random,1,0.05,0.0025
vanRossemS,2,random,1,0.05,0.0025
ProkoshinF,20,random,1,0.05,0.0025
ChowYF,18,random,1,0.05,0.0025
DamhuisR,18,random,1,0.05,0.0025
MichelB,13,random,1,0.05,0.0025
EngelsT,17,random,1,0.05,0.0025
HöfteSJC,4,random,1,0.05,0.0025
vanMoorselaarD,20,random,1,0.05,0.0025
KimC,16,random,1,0.05,0.0025
LisoL,4,random,1,0.05,0.0025
YugayV,6,random,1,0.05,0.0025
KeizerR,15,random,1,0.05,0.0025
MüllerAB,3,random,1,0.05,0.0025
PhamC,19,random,1,0.05,0.0025
PutnamSP,31,random,1,0.05,0.0025
SchumacherL,15,random,1,0.05,0.0025
SepMSC,13,random,1,0.05,0.0025
VeenmanK,10,random,1,0.05,0.0025
VinkersCSTRESSEU,10,random,1,0.05,0.0025
HabetsPC,14,random,1,0.05,0.0025
vanBruijnsvoortM,14,random,1,0.05,0.0025
JanBumaW,9,random,1,0.05,0.0025
SimeonovaV,1,random,1,0.05,0.0025
KrikunA,16,random,1,0.05,0.0025
